rcparte0.jpg#0	Vehículo B impacta a vehículo A en cruce.
rcparte24.jpg#1	Vehículo B circulaba por la calle y es impactado en su costado por vehículo A que aparece por una calle lateral.
rcparte24.jpg#2	Vehículo A cocha a vehículo B al querer incorporarse a la calle principal.
rcparte25.jpg#0	Colisión entre vehículo A y vehículo B en una plaza de sentido giratorio.
rcparte25.jpg#1	En una plaza de sentido giratorio vehículo A y vehículo B chocan.
rcparte25.jpg#2	vehículo A y vehículo B colisionan en una plaza de sentido giratorio.
rcparte26.jpg#0	En intersección de vias vehículo A y vehículo B colisionan.
rcparte26.jpg#1	Choque entre vehículo A y vehículo B en intersección de calles.
rcparte26.jpg#2	vehículo A y vehículo B impactan en intersección de vias con cartel de STOP.
rcparte27.jpg#0	Vehículo A impacta por detrás a vehículo B.
rcparte27.jpg#1	Vehículo B es embestido por detrás por parte de vehículo A.
rcparte27.jpg#2	En via de doble sentido, vehículo A impacta a vehículo B por detrás.
rcparte28.jpg#0	vehículo A y vehículo B se incorporan a plaza de sentido giratorio en simultaneo y colisionan.
rcparte28.jpg#1	Durante una incorporación simultanea a una plaza de sentido giratorio, chocan vehículo A y vehículo B.
rcparte28.jpg#2	En una plaza de sentido giratorio, colisionan vehículo A y vehículo B.
rcparte29.jpg#0	Choque entre vehículo A y vehículo B.
rcparte29.jpg#1	vehículo A y vehículo B colisionan.
rcparte29.jpg#2	Accidente entre vehículo A y vehículo B.
rcparte52.jpg#0	Accidente de vehículo A y vehículo B en intersección de vías.
rcparte52.jpg#1	Colisión vehicular de A y B en interseccion de calles.
rcparte52.jpg#2	vehículo A y vehículo B colisionan en interseccion de vias.
rcparte53.jpg#0	Vehículo B colsiona a vehículo A en via de sentido único.
rcparte53.jpg#1	En calle de sentido único, vehículo A es impactado por detrás por parte de vehículo B.
rcparte53.jpg#2	Vehículo B embiste luneta de vehículo A en via de sentido único.
rcparte54.jpg#0	Vehículo A se incorpora a plaza de sentido giratorio e impacta con vehículo B que circulaba por ella
rcparte54.jpg#1	vehículo A y vehículo B colisionan en una plaza de sentido giratorio.
rcparte54.jpg#2	Vehículo A ingresa a una plaza de sentido giratorio e impacta a vehículo B.
rcparte55.jpg#0	Vehículo B traspasa de carril e impacta sobre vehiculo A.
rcparte55.jpg#1	En calle doble carril con sentido único, vehículo B hace un cambio de carril y colisiona con vehículo A.
rcparte55.jpg#2	Vehículo A es impactado por vehículo B cuando este último hace un cambio de carril.
rcparte56.jpg#0	En intersección de vias vehículo B impacta a vehículo A.
rcparte56.jpg#1	Vehículo A recibe impacto de vehículo B cuando ambos arriban a intersección de calles.
rcparte56.jpg#2	Colisión vehicular entre vehículo A y vehículo B en interseccíon de vías.
rcparte57.jpg#0	Vehículo B impacta a vehículo A mientras ambos circulan por una plaza de sentido giratorio.
rcparte57.jpg#1	En una plaza de sentido giratorio, vehículo B impacta a vehículo A.
rcparte57.jpg#2	Vehículo A es impactado por vehículo B mientras ambos circulan por una plaza de sentido giratorio.
rcparte58.jpg#0	Vehículo A cruza de carril e impacta contra vehículo B.
rcparte58.jpg#1	Vehículo B es impactado por vehículo A cuando este último hace un cambio de carril.
rcparte58.jpg#2	Vehículo A hace un giro a la derecha para cambiar de carril y colisiona contra vehículo B que venia circulando.
rcparte59.jpg#0	Vehículo B hace un giro a la derecha para tomar una calle lateral e impacta con vehículo A que venia de frente.
rcparte59.jpg#1	Vehículo A choca con vehículo B cuando este útlimo hace un giro a la derecha para tomar una calle lateral.
rcparte59.jpg#2	Vehículo B gira hacia la derecha e impacta con vehículo A que provenia en sentido contrario.
rcparte60.jpg#0	En carretera doble sentido, vehículo A cruza e impacta sobre vehículo B.
rcparte60.jpg#1	Vehículo B es embestido por vehículo A que venía en sentido contrario y se cruza.
rcparte60.jpg#2	Vehículo A realiza un cambio de carril y a contramano impacta contra vehículo B.
rcparte61.jpg#0	Choque frontal entre vehículo A y vehículo B.
rcparte61.jpg#1	Accidente vehícular con impacto frontal entre A y B.
rcparte61.jpg#2	vehículo A y vehículo B impactan frontalmente.
rcparte62.jpg#0	Vehículo A realiza un giro a la izquierda para incorporarse a una via doble sentido pero imapacta con vehículo B.
rcparte62.jpg#1	Vehículo B colisiona con vehículo A cuando este último hace un giro a la izquierda desde una calle lateral.
rcparte62.jpg#2	Vehículo B viene circulando por via de doble sentido cuando desde una calle lateral vehículo A hace un giro a la izquierda y se provoca la colisión.
rcparte63.jpg#0	Vehículo A cruza de carril e impacta a B en una curva.
rcparte63.jpg#1	Durante una curva, vehículo A se desvia de carril y choca a vehículo B.
rcparte63.jpg#2	Vehículo A se desvia de carril y colisiona contra vehículo B durante una curva.
rcparte64.jpg#0	Vehículo A quiere abandonar la carretera y al girar hacia la derecha impacta contra vehículo B.
rcparte64.jpg#1	Vehículo A toma salida de la carretera pero al cruzar de carril impacta contra vehículo B.
rcparte64.jpg#2	Vehículo B mantiene su carril por la carretera pero es impactado por vehículo A que quiere tomar la salida.
rcparte65.jpg#0	Vehículo A se incorpora a la via e impacta sobre vehículo B que circulaba por ella.
rcparte65.jpg#1	Vehículo A embiste a vehículo B al incorporarse en una carretera desde un acceso lateral.
rcparte65.jpg#2	Vehículo B es chocado por vehículo A que ingresaba a la carretera.
rcparte66.jpg#0	En camino sinuoso de doble sentido vehiculo A cruza de carril y choca a vehículo B.
rcparte66.jpg#1	Vehículo A cruza a carril contrario e impacta sobre vehículo B en camino sinuoso.
rcparte66.jpg#2	En una curva de carretera con doble sentido, vehículo A cruza al carril contrario e impacta sobre el vehículo B.
rcparte67.jpg#0	En una curva de calle con doble sentido, vehículo B cruza de carril e impacta contra vehículo A.
rcparte67.jpg#1	Vehículo A es chocado por vehículo B que venia de frente en una curva.
rcparte67.jpg#2	Durante una curva, el vehículo B trasgrede su carril e impacta contra vehículo A que venía en mano contraria.
rcparte68.jpg#0	En intersección de vias colisionan vehículo A y vehículo B.
rcparte68.jpg#1	vehículo A y vehículo B que conducían en sentido perpendicular colisionan en una intersección de carreteras.
rcparte68.jpg#2	Colisíon vehicular entre A y B en interseccion de carreteras.
rcparte69.jpg#0	Vehículo A impacta a vehículo B por detrás en calle de sentido único.
rcparte69.jpg#1	Vehículo B es impactado en parte trasera por vehículo A en una vía unidireccional.
rcparte69.jpg#2	Vehículo A choca por atrás a vehículo B.
rcparte70.jpg#0	Colisión entre vehículo A y vehículo B al disputar la misma plaza de estacionamiento.
rcparte70.jpg#1	Al querer ocupar la misma plaza de estacionamiento, chocan vehículo A y vehículo B.
rcparte70.jpg#2	vehículo A y vehículo B colisionan al querer ambos estacionar en la misma plaza vehicular.
rcparte71.jpg#0	Vehículo A hace un giro a la derecha para incorporarse a la via e impacta con vehículo B que transitaba por ella.
rcparte71.jpg#1	Vehículo B transita por una via y colisiona contra Vehículo A que se incorpora a ella desde una calle lateral.
rcparte71.jpg#2	Con un giro a la derecha vehículo A se incorpora a la calle pero impacta con vehículo B que circulaba por ella.
rcparte72.jpg#0	Vehículo B impacta a vehículo A por atrás.
rcparte72.jpg#1	Vehículo A es chocado por detrás por parte de vehículo B.
rcparte72.jpg#2	Vehículo B colsiona con parte trasera de vehículo A.
rcparte73.jpg#0	En via de doble sentido, vehículo A cruza de carril y choca contra vehículo B.
rcparte73.jpg#1	Vehículo B transita por calle con doble sentido cuando es impactado por vehículo A que venia en el sentido contrario.
rcparte73.jpg#2	Vehículo A cruza hacia carril de sentido contrario e impacta sobre vehículo B.
rcparte74.jpg#0	Vehículo A se incorpora a plaza de sentido giratorio e impacta sobre vehículo B que circulaba en ella.
rcparte74.jpg#1	Vehículo B circulaba por plaza de sentido giratorio cuando es chocado por vehículo A que se incorpora a ella.
rcparte74.jpg#2	Al querer incorporarse a la plaza de sentido giratorio, vehículo A colisiona con vehículo B que se encontraba en ella.
rcparte75.jpg#0	Vehículo A abandona plaza de estacionamiento e impacta a vehículo B que circulaba por la via.
rcparte75.jpg#1	Vehículo A se retira del sitio donde estaba estacionado pero impacta contra vehículo B que transitaba por su carril.
rcparte75.jpg#2	Vehículo B circula por su carril cuando desde la izquierda el vehículo A se incorpora al carril y colisionan.
rcparte76.jpg#0	Colisión entre vehículo A y vehículo B en disputa de la misma plaza de estacionamiento.
rcparte76.jpg#1	Al querer ocupar la misma plaza de estacionamiento, chocan vehículo A y vehículo B.
rcparte76.jpg#2	vehículo A y vehículo B colisionan al querer ambos estacionar en la misma plaza vehicular.
rcparte77.jpg#0	Vehículo B quiere tomar la salida de la carretera pero impacta con el vehículo A que realizaba la misma maniobra.
rcparte77.jpg#1	Al querer abandonar la carretera el vehículo B choca con el vehículo A que se encontraba realizando la misma acción.
rcparte77.jpg#2	Vehículo B dobla hacia la derecha al querer salir de la carretera pero colisiona con vehículo A.
rcparte78.jpg#0	Vehículo B realiza un cambio de carril e impacta sobre vehículo A.
rcparte78.jpg#1	Vehículo A circula por su carril cuando vehículo B hace un cambio de carril desde la derecha hacia la izquierda y lo impacta.
rcparte78.jpg#2	Vehículo B hace un cambio de carril de derecha a izquierda y colsiona con vehículo A que venia circulando por su carril.
rcparte79.jpg#0	Vehículo B realiza cambio de carril e impacta al vehículo A.
rcparte79.jpg#1	Vehículo B realiza un giro a la izquierda para cambiar de carril pero impacta a vehículo A que circulaba por él.
rcparte79.jpg#2	Vehículo A es impactado por vehículo B cuando este último.
rcparte80.jpg#0	vehículo A y vehículo B vienen circulando por la misma via y colisionan queriendo cruzar en sentidos opuestos.
rcparte80.jpg#1	Mientras circulan por la misma calle en paralelo, vehículo A y vehículo B chocan al querer doblar en sentidos opuestos.
rcparte80.jpg#2	vehículo A y vehículo B transitan por la misma via uno junto a otro y colisionan al querer realizar maniobras de giro en sentido cruzado.
rcparte81.jpg#0	Vehículo B gira hacia la derecha para realizar un cambio de carril pero impacta contra vehículo A que circulaba por él.
rcparte81.jpg#1	Vehículo A es impactado por vehículo B cuando este último realiza una maniobra de cambio de carril.
rcparte81.jpg#2	Vehículo B hace un cambio de carril de izquierda a derecha y colsiona con vehículo A que venia circulando por su carril.
rcparte82.jpg#0	vehículo A y vehículo B colisionan cuando este último realiza un giro hacia la izquierda para tomar calle lateral.
rcparte82.jpg#1	Vehículo B realiza un giro a la izquierda para tomar calle perpendicular y colisiona con vehículo A. 
rcparte82.jpg#2	En movimiento de giro hacia la izquierda, vehículo B impacta con vehículo A.
rcparte83.jpg#0	Vehículo A hace un cambio de carril de izquierda a derecha y colsiona con vehículo B que venia circulando por su carril.
rcparte83.jpg#1	Vehículo A realiza cambio de carril e impacta al vehículo B.
rcparte83.jpg#2	Vehículo A cruza de carril y choca contra vehículo B.
rcparte84.jpg#0	Vehículo B hace un cambio de carril de izquierda a derecha y colsiona con vehículo A que venia circulando por su carril.
rcparte84.jpg#1	Vehículo B realiza cambio de carril e impacta al vehículo A.
rcparte84.jpg#2	Vehículo B cruza de carril y choca contra vehículo A.
rcparte85.jpg#0	Vehículo A cruza de carril y choca contra vehículo B.
rcparte85.jpg#1	Vehículo A hace un cambio de carril y colsiona con vehículo B que venia circulando por su carril.
rcparte85.jpg#2	Vehículo A realiza cambio de carril e impacta al vehículo B.
rcparte86.jpg#0	En intersección vial vehículo B impacta a vehículo A.
rcparte86.jpg#1	Vehículo A recibe un impacto lateral de vehículo B en una intersección vial.
rcparte86.jpg#2	En una intersecciíon vial el vehículo B embiste al lateral del vehículo A.
rcparte87.jpg#0	Vehículo A cruza de carril y choca contra vehículo B.
rcparte87.jpg#1	Vehículo A hace un cambio de carril y colsiona con vehículo B que venia circulando por su carril.
rcparte87.jpg#2	Vehículo A realiza un adelantamiento e impacta al vehículo B.
rcparte88.jpg#0	Vehículo B realiza un giro a la izquierda para incorporarse a una via y colisiona con vehículo A.
rcparte88.jpg#1	Vehículo A es impactado por vehículo B luego de que este último realizara un giro a su izquierda. 
rcparte88.jpg#2	Al querer doblar a la izquierda hacia otra calle, el vehículo B impacta sobre el vehículo A.
rcparte89.jpg#0	Vehículo A se encuentra detenido en un cruce de vías cuando es chocado por detrás por el vehículo B.
rcparte89.jpg#1	Vehículo B embiste por atrás a vehículo A que se encontraba esperando en una esquina.
rcparte89.jpg#2	Vehículo B colisiona la parte trasera de vehículo A que se encontraba frenado en una intersección vial.
rcparte90.jpg#0	Vehículo B embiste por atrás a vehículo A.
rcparte90.jpg#1	Vehículo B colisiona la parte trasera de vehículo A.
rcparte90.jpg#2	Vehículo B embiste por atrás a vehículo A.
rcparte91.jpg#0	En una curva vehículo A cambiaba de carril e impacta contra vehículo B.
rcparte91.jpg#1	Vehículo B circulaba por una curva y es impactado por vehículo A cuando cambiaba de carril.
rcparte91.jpg#2	Vehículo A cambiaba de carril en una curva y colisiona contra vehículo B.
rcparte92.jpg#0	Vehículo B cambiaba de carril e impacta contra vehículo A.
rcparte92.jpg#1	Vehículo B cambiaba de carril y colisionó con vehículo A. 
rcparte92.jpg#2	Vehículo A circulaba en el mismo sentido y en carril diferente cuando vehículo B impactó mientras cambiaba de carril
rcparte93.jpg#0	Vehículo A estaba parado en una señal de preferencia cuando vehículo B lo impacta por detrás.
rcparte93.jpg#1	Vehículo B impacta a vehículo A que se encontraba parado por una señal de preferencia.
rcparte93.jpg#2	Vehículo B colisiona contra vehículo A que se encontraba parado en un cruce con una señal de preferencia.
rcparte94.jpg#0	Vehículo A estaba parado en una señal de preferencia cuando vehículo B lo impacta por detrás.
rcparte94.jpg#1	Vehículo B impacta a vehículo A que se encontraba parado por una señal de preferencia.
rcparte94.jpg#2	Vehículo B colisiona contra vehículo A que se encontraba parado en un cruce con una señal de preferencia.
rcparte95.jpg#0	Vehículo A estaba parado en una señal de preferencia cuando vehículo B lo impacta por detrás.
rcparte95.jpg#1	Vehículo B impacta a vehículo A que se encontraba parado por una señal de preferencia.
rcparte95.jpg#2	Vehículo B colisiona contra vehículo A que se encontraba parado en un cruce con una señal de preferencia.
rcparte96.jpg#0	Vehículo A circulaba por la vía mientras que vehículo B impactó cuando cambiaba de carril.
rcparte96.jpg#1	Vehículo B cambiaba de carril y colisiona con vehículo A.
rcparte96.jpg#2	Vehículo A circulaba por la vía, mientras que vehículo B colisionó cuando cambiaba de carril.
rcparte97.jpg#0	Vehículo A colisionó frontalmente con vehículo y B, la calle era doble sentido.
rcparte97.jpg#1	Vehículos A iba en sentido inverso a vehículo B e impactan frontalmente.
rcparte97.jpg#2	Impacto frontal entre vehículo A y vehículo  B.
rcparte98.jpg#0	Vehículo A entraba a una plaza de sentido giratorio e impacta sobre vehículo B que circulaba por la plaza de sentido giratorio.
rcparte98.jpg#1	Vehículo B circulaba por una plaza de sentido giratorio cuando vehículo A ingresa a la plaza e impacta.
rcparte98.jpg#2	Vehículo A y vehículo B colisionan en una plaza de sentido giratorio.
rcparte99.jpg#0	Vehículo A no respetó la señal de preferencia e impactó con vehículo B en un cruce.
rcparte99.jpg#1	En un cruce vehículo B circulaba por su carril cuando vehículo A impactó al no respetar la señal de preferencia.
rcparte99.jpg#2	Vehículo A no resepeta la señal de preferencia y colisiona con vehículo B en una intersección.
rcparte100.jpg#0	Vehículo B estaba parado y es impactado por vehículo A.
rcparte100.jpg#1	Vehículo A impacta a vehículo B cuando estaba parado.
rcparte100.jpg#2	Vehículo B estaba estacionado cuando es impactado por vehículo A.
rcparte101.jpg#0	Vehículo B estaba parado y es impactado por vehículo A.
rcparte101.jpg#1	Vehículo A impacta a vehículo B cuando estaba parado.
rcparte101.jpg#2	Vehículo B estaba estacionado cuando es impactado por vehículo A.
rcparte102.jpg#0	Vehículo A no respetó la señal de preferencia e impactó con vehículo B en un cruce.
rcparte102.jpg#1	En un cruce vehículo B circulaba por su carril cuando vehículo A impactó al no respetar la señal de preferencia.
rcparte102.jpg#2	Vehículo A no resepeta la señal de preferencia y colisiona con vehículo B en una intersección.
rcparte103.jpg#0	Vehículo A colisionó frontalmente con vehículo y B, la calle era doble sentido.
rcparte103.jpg#1	Vehículos A iba en sentido inverso a vehículo B e impactan frontalmente.
rcparte103.jpg#2	Impacto frontal entre vehículo A y vehículo  B.
rcparte104.jpg#0	Vehículo B entraba a una plaza de sentido giratorio e impacta sobre vehículo A que circulaba por la plaza de sentido giratorio.
rcparte104.jpg#1	Vehículo A circulaba por una plaza de sentido giratorio cuando vehículo B ingresa a la plaza e impacta.
rcparte104.jpg#2	Vehículo B y vehículo A colisionan en una plaza de sentido giratorio.
rcparte105.jpg#0	Vehículo B cambiaba de carril e impacta contra vehículo A.
rcparte105.jpg#1	Vehículo B cambiaba de carril y colisionó con vehículo A.
rcparte105.jpg#2	Vehículo A circulaba en el mismo sentido y en el mismo carril que el vehículo B, cuando este último impactó mientras cambiaba de carril.
rcparte106.jpg#0	Vehículo B venía por la derecha en un cruce e impacta con vehículo A.
rcparte106.jpg#1	En un cruce, vehículo A impacta con vehículo B que venía por la derecha.
rcparte106.jpg#2	En una interseccíon colisionan vehículo A y vehículo B.
rcparte107.jpg#0	Vehículo A no respetó la señal de preferencia e impactó con vehículo B en un cruce.
rcparte107.jpg#1	En un cruce vehículo B circulaba por su carril cuando vehículo A impactó al no respetar la señal de preferencia.
rcparte107.jpg#2	Vehículo A no resepeta la señal de preferencia y colisiona con vehículo B en una intersección.
rcparte108.jpg#0	Vehículo A venía de la derecha en una entrada mientras que vehículo B impactó al vehículo A.
rcparte108.jpg#1	Vehículo A ingresaba por la derecha a la vía principal e impacta con vehículo B, mientras que vehículo B circulaba por su carril.
rcparte108.jpg#2	Vehículo B circulaba por su carril e impactó con vehículo A que ingresaba por la derecha en una entrada.
rcparte109.jpg#0	Vehículo A y vehículo B circulaban por una plaza de sentido giratorio e impactan.
rcparte109.jpg#1	Vehículo A y vehículo B impactan por una plaza de sentido giratorio.
rcparte109.jpg#2	Colisión de vehículo A y vehículo B en una plaza de sentido giratorio.
rcparte110.jpg#0	Vehículo A no respetó la señal de preferencia e impactó con vehículo B en un cruce.
rcparte110.jpg#1	En un cruce vehículo B circulaba por su carril cuando vehículo A impactó al no respetar la señal de preferencia.
rcparte110.jpg#2	Vehículo A no resepeta la señal de preferencia y colisiona con vehículo B en una intersección.
rcparte111.jpg#0	Vehículo B cambiaba de carril e impacta contra vehículo A.
rcparte111.jpg#1	Vehículo B cambiaba de carril y colisionó con vehículo A.
rcparte111.jpg#2	Vehículo A circulaba en el mismo sentido y en carril diferente cuando vehículo B impactó mientras cambiaba de carril.
rcparte112.jpg#0	Vehículo A estaba parado por señal de preferencia y es impactado por vehículo B.
rcparte112.jpg#1	Vehículo B impacta a vehículo A cuando estaba parado por señal de preferencia.
rcparte112.jpg#2	Vehículo A estaba detenido por señal de preferencia cuando es impactado por vehículo B.
rcparte113.jpg#0	En un cruce, vehículo A cambiaba de carril e impacta con vehículo B que también cambiaba de carril.
rcparte113.jpg#1	vehículo A cambiaba de carril e impacta con vehículo B que también cambiaba de carril en un cruce.
rcparte113.jpg#2	vehículo A cambiaba de carril e impacta con vehículo B que también cambiaba de carril en una intersección
rcparte114.jpg#0	Vehículo A salía de un estacionamiento e impactó con vehículo B que circulaba por su carril
rcparte114.jpg#1	Vehículo B circulaba por el lado derecho del carril y fue impactado por vehículo A que salía de estacionamiento 
rcparte114.jpg#2	Vehículo A cambiaba de carril al salir de estacionamiento e impactó con vehículo B
rcparte115.jpg#0	Vehículo A salía de un estacionamiento e impactó con vehículo B que circulaba por su carril
rcparte115.jpg#1	Vehículo B circulaba por el lado derecho del carril y fue impactado por vehículo A que salía de estacionamiento 
rcparte115.jpg#2	Vehículo A cambiaba de carril al salir de estacionamiento e impactó con vehículo B
rcparte116.jpg#0	Vehículo A y vehículo B circulaban por una plaza de sentido giratorio e impactan
rcparte116.jpg#1	Vehículo A y vehículo B impactan por una plaza de sentido giratorio
rcparte116.jpg#2	Colisión de vehículo A y vehículo B en una plaza de sentido giratorio
rcparte117.jpg#0	Vehículo A no respetó la señal de preferencia e impactó con vehículo B en un cruce
rcparte117.jpg#1	En un cruce vehículo B circulaba por su carril cuando vehículo A impactó al no respetar la señal de preferencia
rcparte117.jpg#2	Vehículo A no resepeta la señal de preferencia y colisiona con vehículo B en una intersección.
rcparte118.jpg#0	Vehículo A giraba a la izquierda y vehículo B colisionó en la parte de atrás al otro vehículo que circulaba en el mismo sentido y en el mismo carril
rcparte118.jpg#1	Vehículo A giraba a la izquierda y vehículo B impactó en la parte de atrás al vehículo A que circulaba en el mismo sentido y en el mismo carril
rcparte118.jpg#2	vehículo B colisionó en la parte de atrás al vehículo A que circulaba en el mismo sentido y en el mismo carril
rcparte119.jpg#0	Vehículo A venía por la derecha en un cruce e impacta con vehículo B que giraba a la izquierda
rcparte119.jpg#1	En un cruce, vehículo B, que giraba a la izquierda, impacta con vehículo A que venía por la derecha 
rcparte119.jpg#2	En una interseccíon colisionan vehículo A y vehículo B que giraba a la izquierda
rcparte120.jpg#0	En una curva vehículo B cambiaba de carril e impacta contra vehículo A.
rcparte120.jpg#1	Vehículo A circulaba por una curva y es impactado por vehículo B cuando cambiaba de carril.
